Strike Price,Option Price
3.4873423562089973e-06,-10687330.499179425
3.5088062038275994e-06,-10589301.627042366
3.530402156845533e-06,-10492170.866873035
3.5521310283433378e-06,-10395929.990506344
3.5739936364058713e-06,-10300570.845161118
3.5959908041531292e-06,-10206085.35274927
3.618123359771254e-06,-10112465.50919158
3.640392136543671e-06,-10019703.383739809
3.6627979728825128e-06,-9927791.118304463
3.6853417123601417e-06,-9836720.926789612
3.7080242037409257e-06,-9746485.094432952
3.7308463010132167e-06,-9657075.977152409
3.753808863421464e-06,-9568486.000898546
3.776912755498582e-06,-9480707.661013082
3.800158847098519e-06,-9393733.52159294
3.823548013428972e-06,-9307556.214860465
3.847081135084352e-06,-9222168.44053935
3.87075909807896e-06,-9137562.96523604
3.894582793880303e-06,-9053732.62182708
3.918553119442703e-06,-8970670.308851982
3.942670977241026e-06,-8888368.989911573
3.966937275304677e-06,-8806821.6930721
3.99135292725181e-06,-8726021.510274278
4.015918852323681e-06,-8645961.596748501
4.040635975419283e-06,-8566635.170434812
4.065505227130181e-06,-8488035.511408191
4.090527543775517e-06,-8410155.96130973
4.115703867437273e-06,-8332989.922782192
4.141035145995767e-06,-8256530.858911343
4.1665223331652894e-06,-8180772.292672134
4.192166388530069e-06,-8105707.8063799925
4.217968277580346e-06,-8031331.041147303
4.243928971748747e-06,-7957635.696344526
4.270049448446885e-06,-7884615.529066569
4.296330691102107e-06,-7812264.3536040075
4.322773689194544e-06,-7740576.040918927
4.3493794382943935e-06,-7669544.518125808
4.376148940099349e-06,-7599163.767977035
4.403083202472338e-06,-7529427.828353313
4.430183239479496e-06,-7460330.791758271
4.457450071428285e-06,-7391866.8048184365
4.484884724905975e-06,-7324030.067787073
4.512488232818236e-06,-7256814.834052965
4.540261634428053e-06,-7190215.409653718
4.5682059753948765e-06,-7124226.152793227
4.596322307813943e-06,-7058841.473363865
4.624611690255911e-06,-6994055.832472901
4.653075187806741e-06,-6929863.741973269
4.681713872107743e-06,-6866259.763998748
4.710528821395953e-06,-6803238.510503165
4.739521120544748e-06,-6740794.642804028
4.768691861104638e-06,-6678922.871130381
4.798042141344426e-06,-6617617.954174423
4.827573066292501e-06,-6556874.698647843
4.857285747778462e-06,-6496687.958841622
4.887181304475012e-06,-6437052.636190255
4.9172608619400165e-06,-6377963.678839778
4.947525552658911e-06,-6319416.081219915
4.9779765160873625e-06,-6261404.883619915
5.008614898694119e-06,-6203925.171768451
5.039441854004198e-06,-6146972.076417413
5.070458542642344e-06,-6090540.772929272
5.101666132376663e-06,-6034626.48086847
5.133065798162661e-06,-5979224.46359643
5.164658722187416e-06,-5924330.0278702965
5.196446093914116e-06,-5869938.523445451
5.228429110126869e-06,-5816045.342681349
5.2606089749757055e-06,-5762645.920151492
5.29298690002194e-06,-5709735.732256516
5.325564104283821e-06,-5657310.296840896
5.358341814282361e-06,-5605365.172813501
5.3913212640875514e-06,-5553895.959771166
5.424503695364847e-06,-5502898.297626011
5.457890357421849e-06,-5452367.866236088
5.491482507255423e-06,-5402300.38503937
5.525281409598949e-06,-5352691.61269123
5.5592883369699725e-06,-5303537.346705025
5.5935045697181415e-06,-5254833.423096141
5.627931396073354e-06,-5206575.716029333
5.662570112194287e-06,-5158760.137469077
5.697422022217229e-06,-5111382.636833353
5.732488438305116e-06,-5064439.200650475
5.76777068069697e-06,-5017925.852219182
5.80327007775763e-06,-4971838.651271568
5.838987966027707e-06,-4926173.69363953
5.874925690273937e-06,-4880927.110923924
5.911084603539834e-06,-4836095.070166759
5.9474660671965685e-06,-4791673.773526734
5.984071450994299e-06,-4747659.457957308
6.0209021331136755e-06,-4704048.394888023
6.057959500217751e-06,-4660836.889908623
6.0952449475042304e-06,-4618021.282456077
6.132759878757928e-06,-4575597.945504556
6.170505706403652e-06,-4533563.285258071
6.2084838515594194e-06,-4491913.740846089
6.246695744089893e-06,-4450645.784021932
6.285142822660243e-06,-4409755.918863788
6.323826534790353e-06,-4369240.681478638
6.362748336909238e-06,-4329096.639708792
6.401909694409967e-06,-4289320.392841159
6.441312081704756e-06,-4249908.571319132
6.480956982280512e-06,-4210857.836457216
6.520845888754727e-06,-4172164.880158111
6.5609803029315925e-06,-4133826.4246325106
6.6013617358585905e-06,-4095839.2221214846
6.641991707883409e-06,-4058200.054621265
6.68287174871112e-06,-4020905.733610692
6.7240033974618e-06,-3983953.099781109
6.765388202728517e-06,-3947339.022768689
6.807027722635552e-06,-3911060.400889354
6.848923524897156e-06,-3875114.160875846
6.891077186876491e-06,-3839497.25761758
6.933490295645052e-06,-3804206.673902589
6.976164448042455e-06,-3769239.4201618577
7.019101250736489e-06,-3734592.5342162405
7.062302320283638e-06,-3700263.0810253774
7.105769283189985e-06,-3666248.152439132
7.1495037759723715e-06,-3632544.8669512025
7.193507445220052e-06,-3599150.3694550786
7.2377819476567235e-06,-3566061.831002099
7.282328950202813e-06,-3533276.448561855
7.3271501300383385e-06,-3500791.444784714
7.372247174665963e-06,-3468604.0677665924
7.41762178197457e-06,-3436711.5908157653
7.463275660303224e-06,-3405111.312221922
7.509210528505413e-06,-3373800.5550272786
7.5554281160138e-06,-3342776.6667998694
7.60193016290538e-06,-3312037.0194087126
7.648718419966907e-06,-3281579.008801333
7.695794648760854e-06,-3251400.0547831007
7.743160621691776e-06,-3221497.6007985757
7.790818122072948e-06,-3191869.113715093
7.838768944193607e-06,-3162512.083608052
7.88701489338642e-06,-3133424.0235483362
7.935557786095488e-06,-3104602.4693916445
7.984399449944782e-06,-3076044.979569725
8.033541723806866e-06,-3047749.134883595
